epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,2993.46,0.64645,0.5842,1.17692,0.97878,1,0.995,0.88623,0.69076,0.45854,1.48707,0.000137694,0.000137694,0.000137694
141,3018.83,0.62546,0.49453,1.28989,0.97466,1,0.995,0.88623,0.64604,0.45282,1.41958,0.000126692,0.000126692,0.000126692
142,3035.49,0.56933,0.43318,1.18007,0.97348,1,0.995,0.88623,0.63772,0.42974,1.41414,0.00011569,0.00011569,0.00011569
143,3052.14,0.53806,0.3932,1.16707,0.97586,1,0.995,0.88623,0.62905,0.41741,1.41332,0.000104688,0.000104688,0.000104688
144,3068.79,0.55927,0.42141,1.20667,0.97928,1,0.995,0.90173,0.60596,0.39775,1.39615,9.36854e-05,9.36854e-05,9.36854e-05
145,3085.49,0.59914,0.44859,1.30952,0.98342,1,0.995,0.90173,0.5993,0.38735,1.38967,8.26832e-05,8.26832e-05,8.26832e-05
146,3102.16,0.57743,0.41333,1.25972,0.98247,1,0.995,0.90173,0.57884,0.37118,1.36274,7.1681e-05,7.1681e-05,7.1681e-05
147,3118.78,0.54907,0.40848,1.17848,0.98089,1,0.995,0.90173,0.59049,0.36959,1.36541,6.06788e-05,6.06788e-05,6.06788e-05
148,3135.37,0.50057,0.40455,1.15946,0.97973,1,0.995,0.90173,0.61756,0.36689,1.38728,4.96766e-05,4.96766e-05,4.96766e-05
149,3152.14,0.58482,0.40085,1.23942,0.97891,1,0.995,0.90173,0.58857,0.36882,1.37491,3.86744e-05,3.86744e-05,3.86744e-05
150,3168.72,0.51469,0.40159,1.12551,0.9779,1,0.995,0.88623,0.60224,0.38788,1.37596,2.76722e-05,2.76722e-05,2.76722e-05
